N_communes;N_pop;D_pop;N_kids;W_pop;N_retired;N_foreigners;Natural_growth;N_wedding;N_death;Prop_fam;M_home;S_primary;S_tertiary;N_nlog;N_indivihome;little_house;N_social;N_cinema;Migratory_balance
Vordemwald;1992.00;196.40;411.00;1155.00;426.00;157.00;-2.00;9.00;21.00;6.30;2.32;16.00;74.00;9.00;68.80;53.10;8.00;0.00;12.10
Wiliberg;167.00;142.70;27.00;111.00;29.00;13.00;0.00;2.00;0.00;6.70;2.23;6.00;9.00;2.00;66.10;34.20;X;0.00;24.20
Zofingen;12104.00;1092.40;2232.00;7454.00;2418.00;2408.00;20.00;73.00;117.00;4.00;2.07;24.00;934.00;83.00;54.90;57.90;425.00;0.00;19.00
Baldingen;267.00;94.70;49.00;177.00;41.00;29.00;1.00;0.00;2.00;6.60;2.51;8.00;13.00;0.00;72.80;21.50;X;0.00;-3.80
Böbikon;165.00;63.50;24.00;98.00;43.00;20.00;-1.00;0.00;1.00;5.60;2.28;10.00;12.00;0.00;55.60;35.70;X;0.00;-29.80
Böttstein;3982.00;535.90;764.00;2342.00;876.00;1654.00;1.00;23.00;37.00;7.40;2.31;12.00;143.00;91.00;61.10;59.00;79.00;0.00;14.90
Döttingen;4244.00;612.40;836.00;2642.00;766.00;1824.00;20.00;15.00;37.00;6.80;2.29;9.00;166.00;26.00;66.90;60.00;133.00;0.00;20.50
Endingen;2597.00;218.10;613.00;1492.00;492.00;473.00;0.00;9.00;16.00;8.50;2.46;32.00;111.00;19.00;70.10;46.40;33.00;0.00;13.20
Fisibach;543.00;94.10;144.00;329.00;70.00;168.00;1.00;1.00;6.00;11.80;2.67;11.00;20.00;2.00;66.70;42.40;X;0.00;62.70
Full-Reuenthal;883.00;184.70;198.00;525.00;160.00;162.00;-6.00;2.00;9.00;6.90;2.42;14.00;29.00;9.00;76.20;41.00;20.00;0.00;9.10
Kaiserstuhl;426.00;1331.30;68.00;283.00;75.00;158.00;0.00;0.00;4.00;3.90;2.05;0.00;30.00;0.00;46.60;48.70;11.00;0.00;23.80
Klingnau;3540.00;527.60;712.00;2092.00;736.00;1027.00;7.00;12.00;28.00;5.90;2.29;10.00;131.00;24.00;72.20;50.20;80.00;0.00;0.00
Koblenz;1671.00;409.60;324.00;1071.00;276.00;705.00;4.00;5.00;9.00;7.20;2.27;5.00;63.00;0.00;66.70;55.50;42.00;0.00;-10.10
Leibstadt;1404.00;219.40;266.00;878.00;260.00;509.00;8.00;6.00;12.00;6.50;2.25;19.00;49.00;57.00;61.80;50.50;44.00;0.00;11.50
Lengnau (AG);2770.00;218.60;649.00;1652.00;469.00;424.00;-4.00;11.00;23.00;8.00;2.48;40.00;114.00;25.00;66.00;43.50;39.00;0.00;-0.40
Leuggern;2180.00;158.40;387.00;1331.00;462.00;451.00;-1.00;11.00;20.00;6.70;2.30;38.00;120.00;20.00;73.50;41.80;25.00;0.00;23.10
Mellikon;228.00;84.40;50.00;131.00;47.00;31.00;-2.00;1.00;3.00;4.40;2.52;X;15.00;0.00;70.70;29.00;X;0.00;4.40
Rekingen (AG);969.00;312.60;176.00;622.00;171.00;352.00;0.00;5.00;6.00;7.40;2.41;X;30.00;0.00;81.10;46.80;25.00;0.00;-8.20
Rietheim;726.00;184.30;134.00;470.00;122.00;247.00;3.00;1.00;4.00;9.80;2.52;5.00;20.00;2.00;76.30;44.70;8.00;0.00;13.90
Rümikon;352.00;119.70;63.00;238.00;51.00;117.00;0.00;3.00;3.00;6.20;2.18;X;14.00;0.00;59.20;41.80;18.00;0.00;52.50
Schneisingen;1491.00;180.50;259.00;873.00;359.00;197.00;-7.00;8.00;19.00;3.40;2.22;20.00;66.00;0.00;70.00;46.70;6.00;0.00;6.70
Siglistorf;669.00;121.40;131.00;433.00;105.00;144.00;1.00;4.00;5.00;5.10;2.24;7.00;28.00;30.00;59.00;43.70;11.00;0.00;52.10
Tegerfelden;1202.00;169.10;265.00;739.00;198.00;207.00;2.00;4.00;13.00;5.70;2.25;17.00;55.00;10.00;58.00;45.10;9.00;0.00;5.00
Wislikofen;353.00;94.10;83.00;189.00;81.00;37.00;1.00;1.00;4.00;8.40;2.45;17.00;16.00;0.00;50.50;37.40;X;0.00;-22.70
